class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Alfalfa,87.5,100.0,93.33333587646484,100.0,21,24
1,Corn-notill,78.65168762207031,77.07707977294922,77.85641479492188,77.07707977294922,999,979
2,Corn-mintill,86.02941131591797,80.55077362060547,83.20000457763672,80.55077362060547,581,544
3,Corn,90.71038055419922,100.0,95.12894439697266,100.0,166,183
4,Grass-pasture,93.56725311279297,94.674560546875,94.11764526367188,94.674560546875,338,342
5,Grass-trees,96.69261169433594,97.26026916503906,96.9756088256836,97.26026916503906,511,514
6,Grass-pasture-mowed,27.77777862548828,100.0,43.47826385498047,100.0,5,18
7,Hay-windrowed,100.0,97.60478973388672,98.78787994384766,97.60478973388672,334,326
8,Oats,100.0,100.0,100.0,100.0,1,1
9,Soybean-notill,72.57861328125,84.72834014892578,78.18428039550781,84.72834014892578,681,795
10,Soybean-mintill,91.09980773925781,83.41094207763672,87.08599090576172,83.41094207763672,1718,1573
11,Soybean-clean,81.34831237792969,87.22891998291016,84.18605041503906,87.22891998291016,415,445
12,Wheat,97.20279693603516,96.52777862548828,96.8641128540039,96.52777862548828,144,143
13,Woods,98.8123550415039,93.90518951416016,96.29629516601562,93.90518951416016,886,842
14,Buildings-Grass-Trees-Drives,78.88563537597656,99.62963104248047,88.0523681640625,99.62963104248047,270,341
