class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Alfalfa,87.5,100.0,93.33333587646484,100.0,21,24
1,Corn-notill,78.60040283203125,77.57757568359375,78.08563995361328,77.57757568359375,999,986
2,Corn-mintill,85.97785949707031,80.20654296875,82.99198913574219,80.20654296875,581,542
3,Corn,90.21739196777344,100.0,94.85713958740234,100.0,166,184
4,Grass-pasture,93.02326202392578,94.674560546875,93.84164428710938,94.674560546875,338,344
5,Grass-trees,96.875,97.0645751953125,96.96969604492188,97.0645751953125,511,512
6,Grass-pasture-mowed,27.77777862548828,100.0,43.47826385498047,100.0,5,18
7,Hay-windrowed,100.0,97.60478973388672,98.78787994384766,97.60478973388672,334,326
8,Oats,100.0,100.0,100.0,100.0,1,1
9,Soybean-notill,71.85929107666016,83.99412536621094,77.45430755615234,83.99412536621094,681,796
10,Soybean-mintill,91.03623962402344,83.35273742675781,87.02522277832031,83.35273742675781,1718,1573
11,Soybean-clean,80.95238494873047,86.02409362792969,83.41120910644531,86.02409362792969,415,441
12,Wheat,96.52777862548828,96.52777862548828,96.52777862548828,96.52777862548828,144,144
13,Woods,98.68263244628906,93.00225830078125,95.75828552246094,93.00225830078125,886,835
14,Buildings-Grass-Trees-Drives,78.19767761230469,99.62963104248047,87.62214660644531,99.62963104248047,270,344
